interpro	GO	Class	Source
IPR000034		Unknown	frequent_missing
IPR025155		Unknown	frequent_missing
IPR001148		Carbon hydration	frequent_missing
IPR001507		Polymerisation	frequent_missing
IPR002893		Binding / Protein	frequent_missing
IPR003137		Recognition / Structure	frequent_missing
IPR003609		Binding	frequent_missing
IPR003644		Binding / Calcium	frequent_missing
IPR005018		Adhesion	frequent_missing
IPR007123		Binding	frequent_missing
IPR007484		Cleavage	frequent_missing
IPR009020		Cleavage / Activation	frequent_missing
IPR011658		Binding / Sugar	frequent_missing
IPR012919		Skipped?	frequent_missing
IPR021613		Adhesion / ECM, Self-cleavage	frequent_missing
IPR022049		Kinase	frequent_missing
IPR022385		Unknown	frequent_missing
IPR021816		Unknown	frequent_missing
IPR024571		Unknown	frequent_missing
IPR025232		Unknown	frequent_missing
IPR026966		Unknown	frequent_missing
IPR028916		Unknown	frequent_missing
IPR029006		Binding	frequent_missing
IPR029403		Unknown	frequent_missing
IPR006581		Binding / Protein	frequent_missing
IPR009581		Kinase	frequent_missing
IPR011705		Substrate orientation	frequent_missing
IPR016017		Unknown, factor	frequent_missing
IPR018392		Binding / Peptidoglycan	frequent_missing
IPR021109		Cleavage	frequent_missing
IPR029047		Binding / Protein	frequent_missing
IPR029048		Stabilisation	frequent_missing
IPR000494		Binding / Protein	frequent_missing
IPR000519		Unknown	frequent_missing
IPR000782		Adhesion	frequent_missing
IPR000800		Structural / Capping 	frequent_missing
IPR001526		Binding	frequent_missing
IPR016054		Binding	frequent_missing
IPR003988		IG-like	frequent_missing
IPR007934		Binding / Sugar	frequent_missing
IPR010457		IG	frequent_missing
IPR012896		Unknown	frequent_missing
IPR013787		Binding / Calcium	frequent_missing
IPR015152		IG,Binding / Protein	frequent_missing
IPR015321		IG,Binding / Cytokine	frequent_missing
IPR015373		IG	frequent_missing
IPR016090		Phospholipase	frequent_missing
IPR027465		Binding / Protein	frequent_missing
IPR029000		Isomerase / unfolded protein	frequent_missing
IPR007365		Dimerisation	frequent_missing
IPR027350		Transferase / Sugar	frequent_missing
IPR000472		Binding / Protein	go_review
IPR003605		Activation	go_review
IPR018941		IG-like	go_review
IPR006211		Aggregation	go_review
IPR001879		Unknown	go_review
IPR011500		Structure / Disulphide	go_review
IPR001879		Skipped	go_review
IPR017978		Skipped go_review
IPR030398		Cleavage	frequent_missing
IPR008139		Multiple / Cleaved	frequent_missing
IPR008138		Multiple / Cleaved	frequent_missing
IPR007856		Multiple / Cleaved	frequent_missing
IPR009066		Binding / Ligand	frequent_missing
IPR021996		Polymerisation	frequent_missing
IPR003119		Targeting	frequent_missing
IPR001156		Binding / Iron	frequent_missing
IPR015129		Binding / Protein	frequent_missing
IPR011988		Polymerisation	frequent_missing
IPR010363		Unknown	frequent_missing
IPR013803		Cleaved	frequent_missing
IPR027468		Unknown	frequent_missing
IPR011040		Unknown	frequent_missing
IPR000118		Unknown	frequent_missing
IPR011050		Unknown	frequent_missing
IPR021520		Unknown	frequent_missing
IPR010506		Binding / Protein	frequent_missing
IPR013576		Factor	frequent_missing
IPR004443		Unknown	frequent_missing
IPR016015		Unknown	frequent_missing
IPR016014		Unknown	frequent_missing
IPR028146		Stability / Targetting	frequent_missing
IPR022176		Unknown	frequent_missing
IPR010895		IG-like	frequent_missing
IPR003812		Transferase / AMP	frequent_missing
IPR003993		Skipped	frequent_missing
IPR012989		Skipped	frequent_missing
IPR016071		Skipped	frequent_missing
IPR001064		Skipped	frequent_missing
IPR003334		Skipped	frequent_missing
IPR015360		Skipped	frequent_missing
IPR028942		Skipped	frequent_missing
IPR027484		Skipped	frequent_missing
IPR027483		Skipped	frequent_missing
IPR027401		Skipped	frequent_missing
IPR027267		Skipped	frequent_missing
IPR024743		Skipped	frequent_missing
IPR024600		Skipped	frequent_missing
IPR024317		Skipped	frequent_missing
IPR023213		Skipped	frequent_missing
IPR023123		Skipped	frequent_missing
IPR022750		Skipped	frequent_missing
IPR022164		Skipped	frequent_missing
